"School.Type"	"Enrolment"	"Percentage.of.Students.Whose.First.Language.Is.Not.English"	"Percentage.of.Students.Whose.First.Language.Is.Not.French"	"Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.English.Speaking.Country"	"Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.French.Speaking.Country"	"Percentage.of.Students.Receiving.Special.Education.Services"	"Gifted"	"Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Reading"	"Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Writing"	"Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Mathematics"	"Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Reading"	"Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Writing"	"Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Mathematics"	"Percentage.of.Children.Who.Live.in.Low.Income.Households"	"Percentage.of.Students.Whose.Parents.Have.Some.University.Education"	"FSL.Core"	"FSL.Extended"	"FSL.Immersion"	"Gender.Ratio.M.to.F"	"Enrol_sum_all"	"Enrol_sum_JKto3"	"Enrol_sum_4to6"
"Public"	"High"	"Medium"	"Low"	"Low"	"Lowest"	"Low"	"FALSE"	"Lowest"	"Low"	"Lowest"	"Low"	"Lowest"	"Lowest"	"Medium"	"Low"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Lowest"	"High"	"Low"	"High"	"High"	"Medium"	"FALSE"	"Highest"	"High"	"Highest"	"Lowest"	"Lowest"	"Lowest"	"Medium"	"Low"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Medium"	"Highest"	"Low"	"High"	"High"	"Medium"	"FALSE"	"Low"	"High"	"High"	"Low"	"Low"	"Low"	"Medium"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"High"	"Highest"	"Low"	"Low"	"Lowest"	"Medium"	"FALSE"	"Highest"	"Medium"	"High"	"Lowest"	"Low"	"Low"	"Medium"	"Low"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Medium"	"Highest"	"Low"	"High"	"High"	"Low"	"FALSE"	"Medium"	"Low"	"Low"	"Medium"	"Medium"	"Low"	"High"	"Low"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Medium"	"Lowest"	"Low"	"Medium"	"Medium"	"High"	"FALSE"	"Highest"	"Highest"	"Highest"	"High"	"High"	"Highest"	"Lowest"	"Highest"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Lowest"	"Low"	"Low"	"Medium"	"Medium"	"High"	"FALSE"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"Lowest"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Low"	"Low"	"Low"	"Medium"	"Medium"	"Medium"	"FALSE"	"Medium"	"Medium"	"Medium"	"High"	"Medium"	"Highest"	"Medium"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Low"	"Low"	"Low"	"Medium"	"Medium"	"Medium"	"FALSE"	"High"	"High"	"Highest"	"Low"	"Low"	"Low"	"Lowest"	"High"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Medium"	"Medium"	"Low"	"Medium"	"Medium"	"Medium"	"FALSE"	"Highest"	"Highest"	"Highest"	"High"	"High"	"High"	"High"	"Highest"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Highest"	"Low"	"Low"	"Lowest"	"Lowest"	"Highest"	"FALSE"	"Highest"	"Highest"	"Highest"	"High"	"High"	"Highest"	"Highest"	"Low"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Lowest"	"Low"	"Low"	"Medium"	"Medium"	"Highest"	"FALSE"	"Highest"	"Highest"	"Highest"	"Medium"	"Low"	"Low"	"Highest"	"Lowest"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Medium"	"Low"	"Low"	"Medium"	"Medium"	"Lowest"	"FALSE"	"Highest"	"Highest"	"Highest"	"Highest"	"High"	"High"	"Lowest"	"High"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Lowest"	"Lowest"	"Low"	"Medium"	"Medium"	"Lowest"	"FALSE"	"Highest"	"High"	"Highest"	"Low"	"Low"	"High"	"Low"	"Low"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Low"	"Low"	"Low"	"Medium"	"Medium"	"Highest"	"FALSE"	"Low"	"Lowest"	"Medium"	"Lowest"	"Lowest"	"Lowest"	"Highest"	"Lowest"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Medium"	"Low"	"Low"	"Medium"	"Medium"	"Medium"	"FALSE"	"High"	"High"	"High"	"Highest"	"High"	"Highest"	"Lowest"	"High"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Medium"	"Lowest"	"Low"	"Medium"	"Medium"	"High"	"FALSE"	"Medium"	"Medium"	"High"	"Low"	"Low"	"High"	"High"	"Low"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Lowest"	"Low"	"Low"	"Medium"	"Medium"	"High"	"FALSE"	"Medium"	"Highest"	"Highest"	"High"	"Medium"	"Highest"	"Low"	"Low"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"High"	"Lowest"	"Low"	"Medium"	"Medium"	"Medium"	"FALSE"	"Medium"	"Low"	"Medium"	"Medium"	"Low"	"High"	"Medium"	"Low"	"YES"	"NO"	"YES"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Medium"	"Medium"	"Low"	"Medium"	"Medium"	"High"	"FALSE"	"Highest"	"Highest"	"Highest"	"Highest"	"Highest"	"Highest"	"Medium"	"High"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"High"	"Low"	"Low"	"Medium"	"Medium"	"High"	"FALSE"	"Highest"	"Highest"	"Highest"	"High"	"Medium"	"Highest"	"Low"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Lowest"	"Medium"	"Low"	"Medium"	"Medium"	"High"	"FALSE"	"Medium"	"Low"	"Lowest"	"Highest"	"Highest"	"Highest"	"Highest"	"Low"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Medium"	"Medium"	"Low"	"Highest"	"Highest"	"Medium"	"FALSE"	"Medium"	"Medium"	"High"	"High"	"Highest"	"High"	"High"	"Low"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Lowest"	"Low"	"Low"	"Medium"	"Medium"	"High"	"FALSE"	"Lowest"	"Low"	"Medium"	"Lowest"	"Lowest"	"Low"	"High"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"High"	"Lowest"	"Low"	"Medium"	"Medium"	"Low"	"FALSE"	"Highest"	"Highest"	"Highest"	"Highest"	"Highest"	"Highest"	"Low"	"High"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Low"	"Low"	"Low"	"Medium"	"Medium"	"Highest"	"FALSE"	"Highest"	"Highest"	"Highest"	"Medium"	"Low"	"Low"	"Highest"	"Lowest"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Medium"	"Low"	"Low"	"Medium"	"Medium"	"Medium"	"FALSE"	"High"	"High"	"Highest"	"Medium"	"Medium"	"Medium"	"Medium"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"High"	"Low"	"Low"	"Medium"	"Medium"	"Highest"	"FALSE"	"Highest"	"Highest"	"Highest"	"High"	"High"	"High"	"Highest"	"Lowest"	"YES"	"NO"	"YES"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Low"	"Low"	"Low"	"Medium"	"Medium"	"Highest"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Highest"	"Lowest"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Lowest"	"Low"	"Low"	"Medium"	"Medium"	"Highest"	"FALSE"	"Highest"	"Highest"	"Highest"	"Medium"	"High"	"Highest"	"High"	"Lowest"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Medium"	"Low"	"Low"	"Medium"	"Medium"	"Low"	"FALSE"	"High"	"High"	"High"	"High"	"High"	"Highest"	"Medium"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Low"	"Low"	"Low"	"Medium"	"Medium"	"High"	"FALSE"	"Highest"	"Highest"	"Highest"	"Highest"	"Highest"	"Highest"	"Medium"	"Low"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Lowest"	"Low"	"Low"	"Medium"	"Medium"	"Medium"	"FALSE"	"Low"	"Medium"	"Low"	"Highest"	"High"	"Highest"	"Medium"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"High"	"Low"	"Low"	"Medium"	"Medium"	"Medium"	"FALSE"	"High"	"High"	"High"	"High"	"Highest"	"High"	"Lowest"	"Low"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Low"	"Low"	"Low"	"Medium"	"Lowest"	"Low"	"FALSE"	"High"	"Highest"	"Highest"	"Highest"	"Highest"	"High"	"Low"	"Highest"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Medium"	"Medium"	"Low"	"Medium"	"Medium"	"Highest"	"FALSE"	"High"	"High"	"Highest"	"High"	"High"	"High"	"Medium"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Low"	"Low"	"Low"	"Medium"	"Medium"	"High"	"FALSE"	"Highest"	"Highest"	"Highest"	"High"	"High"	"High"	"Lowest"	"High"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Lowest"	"High"	"Low"	"Highest"	"Highest"	"High"	"FALSE"	"Highest"	"Highest"	"High"	"Medium"	"Low"	"Medium"	"Highest"	"Lowest"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Medium"	"High"	"Low"	"High"	"High"	"Highest"	"FALSE"	"Medium"	"High"	"Medium"	"High"	"Highest"	"Medium"	"Highest"	"Lowest"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Lowest"	"Low"	"Low"	"Medium"	"Medium"	"Highest"	"FALSE"	"Low"	"Medium"	"High"	"Low"	"Medium"	"Low"	"High"	"Low"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Medium"	"Medium"	"Low"	"Lowest"	"Lowest"	"Low"	"FALSE"	"Highest"	"Highest"	"Highest"	"Medium"	"Medium"	"Low"	"High"	"Medium"	"YES"	"NO"	"YES"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"High"	"Low"	"Lowest"	"Medium"	"Medium"	"Low"	"FALSE"	"Highest"	"Highest"	"Highest"	"High"	"Highest"	"High"	"Medium"	"Medium"	"NO"	"NO"	"YES"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Lowest"	"Low"	"Low"	"Medium"	"Medium"	"Highest"	"FALSE"	"Highest"	"Highest"	"Highest"	"Highest"	"Highest"	"Highest"	"Low"	"High"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Low"	"Medium"	"Low"	"Medium"	"Medium"	"Medium"	"FALSE"	"Highest"	"Highest"	"Highest"	"Highest"	"Highest"	"Medium"	"High"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Lowest"	"Low"	"Low"	"Medium"	"Medium"	"Medium"	"FALSE"	"High"	"Highest"	"Highest"	"Highest"	"Highest"	"Medium"	"Medium"	"Low"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"High"	"Lowest"	"Low"	"Medium"	"Medium"	"High"	"FALSE"	"High"	"Low"	"Medium"	"Medium"	"Low"	"High"	"High"	"Low"	"YES"	"NO"	"YES"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"High"	"High"	"Low"	"High"	"High"	"Medium"	"FALSE"	"High"	"Highest"	"Highest"	"Low"	"Low"	"High"	"High"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"High"	"Low"	"Low"	"Medium"	"Medium"	"High"	"FALSE"	"High"	"Medium"	"High"	"Highest"	"Highest"	"Highest"	"High"	"Lowest"	"YES"	"NO"	"YES"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Highest"	"Lowest"	"Low"	"Lowest"	"Lowest"	"High"	"FALSE"	"High"	"Highest"	"High"	"Medium"	"Low"	"High"	"Medium"	"Low"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"High"	"Lowest"	"Low"	"Medium"	"Medium"	"High"	"FALSE"	"Highest"	"Highest"	"Highest"	"Highest"	"Highest"	"Highest"	"Lowest"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"High"	"Low"	"Low"	"Medium"	"Medium"	"High"	"FALSE"	"Low"	"Medium"	"Medium"	"Lowest"	"Lowest"	"Medium"	"Highest"	"Lowest"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Medium"	"High"	"Low"	"Highest"	"Highest"	"High"	"FALSE"	"Medium"	"High"	"Highest"	"Low"	"Low"	"Medium"	"Highest"	"Lowest"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Medium"	"Low"	"Low"	"Medium"	"Medium"	"Highest"	"FALSE"	"High"	"Highest"	"Highest"	"Medium"	"Medium"	"Medium"	"Highest"	"Lowest"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Lowest"	"Low"	"Low"	"Medium"	"Medium"	"Low"	"FALSE"	"Highest"	"High"	"Highest"	"Highest"	"Highest"	"Highest"	"Lowest"	"High"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Lowest"	"Lowest"	"Lowest"	"Medium"	"Medium"	"Medium"	"FALSE"	"Highest"	"Highest"	"Highest"	"Medium"	"Highest"	"High"	"Low"	"Highest"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Lowest"	"Low"	"Low"	"Medium"	"Medium"	"Highest"	"FALSE"	"Medium"	"High"	"Medium"	"Lowest"	"Low"	"Low"	"Highest"	"Low"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"High"	"Low"	"Low"	"Medium"	"Medium"	"Low"	"FALSE"	"Low"	"Highest"	"High"	"Highest"	"Highest"	"High"	"Low"	"High"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"High"	"Low"	"Low"	"Medium"	"Medium"	"High"	"FALSE"	"Highest"	"Highest"	"Highest"	"Highest"	"Medium"	"High"	"Lowest"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Lowest"	"Low"	"Low"	"Medium"	"Medium"	"Highest"	"FALSE"	"High"	"High"	"Highest"	"Medium"	"Lowest"	"Lowest"	"High"	"Low"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"High"	"Lowest"	"Low"	"Medium"	"Medium"	"High"	"FALSE"	"High"	"Medium"	"Highest"	"Highest"	"High"	"Medium"	"Highest"	"Lowest"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Highest"	"High"	"Low"	"Low"	"Lowest"	"Medium"	"FALSE"	"Medium"	"Low"	"Medium"	"Medium"	"High"	"Highest"	"Medium"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Lowest"	"Medium"	"Low"	"Medium"	"Medium"	"Low"	"FALSE"	"High"	"Medium"	"Low"	"Highest"	"Highest"	"Highest"	"Highest"	"Lowest"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Medium"	"Low"	"Low"	"Medium"	"Medium"	"Medium"	"FALSE"	"Low"	"High"	"High"	"High"	"Highest"	"Highest"	"Low"	"High"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Low"	"Low"	"Lowest"	"Low"	"Low"	"Highest"	"FALSE"	"Highest"	"High"	"Highest"	"Highest"	"Highest"	"Highest"	"Highest"	"Lowest"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"High"	"Medium"	"Low"	"Low"	"Lowest"	"Medium"	"FALSE"	"Low"	"Medium"	"High"	"Medium"	"High"	"Highest"	"High"	"High"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Lowest"	"Low"	"Low"	"Medium"	"Medium"	"Medium"	"FALSE"	"Highest"	"Highest"	"High"	"High"	"Low"	"Medium"	"High"	"Lowest"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Lowest"	"Low"	"Low"	"Medium"	"Medium"	"Highest"	"FALSE"	"Highest"	"High"	"Low"	"Medium"	"Medium"	"Low"	"Highest"	"Lowest"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Lowest"	"Low"	"Low"	"Medium"	"Medium"	"High"	"FALSE"	"High"	"Highest"	"High"	"High"	"Medium"	"High"	"Highest"	"Lowest"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Highest"	"Low"	"Low"	"Medium"	"Medium"	"Low"	"FALSE"	"Highest"	"High"	"High"	"High"	"High"	"High"	"High"	"Medium"	"NO"	"NO"	"YES"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Low"	"Low"	"Low"	"Medium"	"Medium"	"High"	"FALSE"	"Highest"	"High"	"Highest"	"High"	"High"	"Medium"	"Medium"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Medium"	"Low"	"Low"	"Lowest"	"Lowest"	"Highest"	"FALSE"	"High"	"High"	"Highest"	"Low"	"Medium"	"High"	"Medium"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Lowest"	"Low"	"Low"	"Medium"	"Medium"	"Medium"	"FALSE"	"High"	"Highest"	"High"	"Highest"	"Medium"	"Highest"	"Lowest"	"Low"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Medium"	"Lowest"	"Low"	"Medium"	"Medium"	"Medium"	"FALSE"	"High"	"High"	"Highest"	"High"	"High"	"Highest"	"Medium"	"Low"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Low"	"Low"	"Low"	"Medium"	"Medium"	"Low"	"FALSE"	"Highest"	"High"	"Highest"	"Highest"	"High"	"Highest"	"Low"	"Medium"	"YES"	"NO"	"NO"	"Highest"	"Medium"	"Medium"	"Medium"
"Public"	"Low"	"Lowest"	"Low"	"Low"	"Lowest"	"Highest"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Highest"	"Lowest"	"YES"	"NO"	"NO"	"Medium"	"Low"	"Low"	"Low"
"Public"	"Medium"	"Medium"	"Lowest"	"Low"	"Lowest"	"Highest"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Highest"	"Lowest"	"YES"	"NO"	"NO"	"Medium"	"Low"	"Low"	"Low"
"Public"	"Lowest"	"Medium"	"Low"	"Low"	"Lowest"	"High"	"FALSE"	"Highest"	"Highest"	"Highest"	"Lowest"	"Low"	"Lowest"	"Low"	"Medium"	"YES"	"NO"	"NO"	"Medium"	"Low"	"Low"	"Low"
"Public"	"Low"	"Medium"	"Low"	"Low"	"Lowest"	"Highest"	"FALSE"	"High"	"Low"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"YES"	"NO"	"NO"	"Medium"	"Low"	"Low"	"Low"
"Public"	"High"	"Medium"	"Low"	"Low"	"Lowest"	"Low"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"High"	"Lowest"	"YES"	"NO"	"NO"	"Medium"	"Low"	"Low"	"Low"
"Public"	"Lowest"	"Medium"	"Low"	"Low"	"Lowest"	"Highest"	"FALSE"	"Medium"	"Medium"	"Low"	"High"	"High"	"Medium"	"Low"	"Medium"	"YES"	"NO"	"NO"	"Medium"	"Low"	"Low"	"Low"
"Public"	"Highest"	"Highest"	"Low"	"Lowest"	"Lowest"	"Medium"	"FALSE"	"Low"	"Medium"	"Medium"	"Medium"	"Medium"	"High"	"Low"	"Medium"	"YES"	"NO"	"NO"	"Medium"	"Low"	"Low"	"Low"
"Public"	"Low"	"Medium"	"Low"	"Low"	"Lowest"	"Highest"	"FALSE"	"Medium"	"Lowest"	"High"	"Lowest"	"Lowest"	"Medium"	"Lowest"	"Low"	"YES"	"NO"	"NO"	"Medium"	"Low"	"Low"	"Low"
"Public"	"High"	"Medium"	"Low"	"Low"	"Lowest"	"High"	"FALSE"	"Medium"	"Low"	"High"	"High"	"High"	"High"	"Lowest"	"Medium"	"YES"	"NO"	"NO"	"Medium"	"Low"	"Low"	"Low"
"Public"	"Low"	"Medium"	"Low"	"Low"	"Lowest"	"High"	"TRUE"	"Lowest"	"Low"	"Lowest"	"Medium"	"Medium"	"High"	"Low"	"Low"	"YES"	"NO"	"NO"	"Medium"	"Low"	"Low"	"Low"
"Public"	"Highest"	"Lowest"	"Low"	"Low"	"Lowest"	"Low"	"FALSE"	"High"	"Medium"	"Lowest"	"Highest"	"High"	"High"	"Medium"	"Low"	"NO"	"NO"	"YES"	"Medium"	"Low"	"Low"	"Low"
"Public"	"Lowest"	"Medium"	"Low"	"Low"	"Lowest"	"Highest"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Highest"	"Low"	"YES"	"NO"	"NO"	"Medium"	"Low"	"Low"	"Low"
"Public"	"Highest"	"Low"	"Low"	"Low"	"Lowest"	"High"	"FALSE"	"Medium"	"High"	"High"	"Medium"	"Low"	"Low"	"Low"	"Medium"	"YES"	"NO"	"NO"	"Medium"	"Low"	"Low"	"Low"
"Public"	"Low"	"Medium"	"Low"	"Low"	"Lowest"	"Medium"	"FALSE"	"Highest"	"Highest"	"Highest"	"High"	"High"	"Low"	"High"	"Lowest"	"YES"	"NO"	"NO"	"Medium"	"Low"	"Low"	"Low"
"Public"	"Lowest"	"Medium"	"Low"	"Low"	"Lowest"	"Highest"	"FALSE"	"Low"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Highest"	"Lowest"	"YES"	"NO"	"NO"	"Medium"	"Low"	"Low"	"Low"
"Public"	"Low"	"Medium"	"Low"	"Low"	"Lowest"	"Highest"	"FALSE"	"Lowest"	"Lowest"	"Low"	"Low"	"Low"	"Lowest"	"High"	"Lowest"	"YES"	"NO"	"NO"	"Medium"	"Low"	"Low"	"Low"
"Public"	"Lowest"	"Medium"	"Low"	"Low"	"Lowest"	"High"	"FALSE"	"Highest"	"High"	"Highest"	"Lowest"	"Low"	"Medium"	"Medium"	"Lowest"	"YES"	"NO"	"NO"	"Medium"	"Low"	"Low"	"Low"
"Public"	"Lowest"	"Medium"	"Low"	"Low"	"Lowest"	"Low"	"FALSE"	"Medium"	"Highest"	"Highest"	"Medium"	"High"	"High"	"Medium"	"Medium"	"YES"	"NO"	"NO"	"Medium"	"Low"	"Low"	"Low"
"Public"	"Lowest"	"Medium"	"Low"	"Low"	"Lowest"	"High"	"FALSE"	"Lowest"	"Medium"	"Low"	"Low"	"Low"	"Lowest"	"Low"	"Low"	"YES"	"NO"	"NO"	"Medium"	"Low"	"Low"	"Low"
"Public"	"Low"	"Medium"	"Low"	"Low"	"Lowest"	"Highest"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Low"	"Low"	"Lowest"	"YES"	"NO"	"NO"	"Medium"	"Low"	"Low"	"Low"
"Public"	"High"	"Medium"	"Low"	"Low"	"Lowest"	"Medium"	"FALSE"	"Medium"	"High"	"High"	"Medium"	"Low"	"Medium"	"Low"	"Low"	"YES"	"NO"	"NO"	"Medium"	"Low"	"Low"	"Low"
"Public"	"Low"	"Highest"	"Low"	"Medium"	"Medium"	"High"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"High"	"Lowest"	"YES"	"NO"	"NO"	"Medium"	"Low"	"Low"	"Low"
"Public"	"Medium"	"Medium"	"Low"	"Low"	"Lowest"	"High"	"FALSE"	"Highest"	"Highest"	"Medium"	"Highest"	"High"	"Highest"	"Low"	"Lowest"	"YES"	"NO"	"YES"	"Medium"	"Low"	"Low"	"Low"
"Public"	"High"	"Lowest"	"Lowest"	"Low"	"Lowest"	"Low"	"FALSE"	"High"	"High"	"Medium"	"Highest"	"High"	"Highest"	"High"	"Low"	"NO"	"NO"	"YES"	"Medium"	"Low"	"Low"	"Low"
"Public"	"Lowest"	"Medium"	"Low"	"Low"	"Lowest"	"High"	"FALSE"	"Lowest"	"Low"	"Medium"	"Low"	"Lowest"	"Low"	"Low"	"Low"	"YES"	"NO"	"NO"	"Medium"	"Low"	"Low"	"Low"
"Public"	"Lowest"	"Medium"	"Low"	"Low"	"Lowest"	"Highest"	"FALSE"	"Medium"	"Low"	"High"	"Lowest"	"Lowest"	"Medium"	"Low"	"Low"	"YES"	"NO"	"NO"	"Medium"	"Low"	"Low"	"Low"
"Public"	"Low"	"Medium"	"Low"	"Low"	"Lowest"	"High"	"FALSE"	"Low"	"Lowest"	"Low"	"Low"	"Lowest"	"Low"	"Low"	"Lowest"	"YES"	"NO"	"NO"	"Medium"	"Low"	"Low"	"Low"
"Public"	"High"	"Medium"	"Lowest"	"Low"	"Lowest"	"Medium"	"FALSE"	"Low"	"Low"	"Medium"	"Low"	"Lowest"	"Low"	"Lowest"	"Medium"	"YES"	"NO"	"NO"	"Medium"	"Low"	"Low"	"Low"
"Public"	"Lowest"	"Medium"	"Low"	"Low"	"Lowest"	"Highest"	"FALSE"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"Lowest"	"High"	"Lowest"	"YES"	"NO"	"NO"	"Medium"	"Low"	"Low"	"Low"
"Public"	"High"	"Lowest"	"Low"	"Low"	"Lowest"	"Medium"	"FALSE"	"Low"	"Lowest"	"Lowest"	"Lowest"	"Low"	"Lowest"	"High"	"Lowest"	"YES"	"NO"	"NO"	"Medium"	"Low"	"Low"	"Low"
