"","School.Type","Enrolment","Percentage.of.Students.Whose.First.Language.Is.Not.English","Percentage.of.Students.Whose.First.Language.Is.Not.French","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.English.Speaking.Country","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.French.Speaking.Country","Percentage.of.Students.Receiving.Special.Education.Services","Gifted","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Children.Who.Live.in.Low.Income.Households","Percentage.of.Students.Whose.Parents.Have.Some.University.Education","FSL.Core","FSL.Extended","FSL.Immersion","Gender.Ratio.M.to.F","Enrol_sum_all","Enrol_sum_JKto3","Enrol_sum_4to6"
"2170","Public","Highest","High","Low","Medium","Medium","Medium","FALSE","Medium","Medium","Highest","Medium","High","High","Lowest","Highest","YES","NO","YES","Medium","Medium","Medium","Medium"
"2171","Public","Highest","Medium","Low","High","High","Highest","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Low","High","Lowest","YES","NO","NO","Medium","Medium","Medium","Medium"
"2172","Public","High","Medium","Low","High","High","Highest","FALSE","Lowest","Low","Lowest","Lowest","Medium","Low","High","Lowest","YES","NO","NO","Medium","Medium","Medium","Medium"
"2176","Public","Low","Medium","Low","Medium","Medium","Highest","FALSE","Lowest","Lowest","Low","Lowest","Lowest","Lowest","High","Low","YES","NO","NO","Medium","Medium","Medium","Medium"
"2178","Public","High","Medium","Low","Medium","Medium","Highest","TRUE","Medium","High","High","Low","Low","Medium","Medium","Highest","YES","NO","YES","Medium","Medium","Medium","Medium"
"2179","Public","Highest","High","Low","Low","Lowest","High","FALSE","Medium","Low","Low","Lowest","Low","Low","Lowest","Medium","YES","NO","NO","Medium","Medium","Medium","Medium"
"2182","Public","High","High","Low","High","High","Low","FALSE","Low","Low","Lowest","Lowest","Lowest","Lowest","Highest","Low","YES","NO","NO","Medium","Medium","Medium","Medium"
"2183","Public","Low","Medium","Low","High","High","Highest","FALSE","Medium","Low","Lowest","Lowest","Low","Highest","Low","Low","YES","NO","NO","Medium","Medium","Medium","Medium"
"2185","Public","Low","High","Low","Low","Low","Highest","FALSE","Lowest","Lowest","Low","Medium","Low","Medium","Low","Low","YES","NO","NO","Medium","Medium","Medium","Medium"
"2187","Public","Highest","Highest","Low","Low","Low","Lowest","FALSE","Medium","Medium","Medium","Low","Medium","Medium","Low","High","YES","NO","YES","Medium","Medium","Medium","Medium"
"2188","Public","Medium","Medium","Low","Lowest","Lowest","Highest","FALSE","Medium","Low","Medium","High","High","Highest","Low","High","YES","NO","NO","Medium","Medium","Medium","Medium"
"2189","Public","Highest","Lowest","Low","High","High","Medium","FALSE","High","Medium","High","High","High","Highest","Lowest","Medium","YES","NO","NO","Medium","Medium","Medium","Medium"
"2190","Public","High","High","Low","Low","Low","High","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Low","High","Lowest","YES","NO","YES","Medium","Medium","Medium","Medium"
"2191","Public","Lowest","High","Low","High","High","High","FALSE","High","High","High","Medium","High","Medium","Medium","High","YES","NO","NO","Medium","Medium","Medium","Medium"
"2192","Public","Medium","Medium","Low","Medium","Medium","Highest","FALSE","Low","Medium","Low","Low","Lowest","Medium","High","Medium","YES","NO","NO","Medium","Medium","Medium","Medium"
"2195","Public","High","Lowest","Low","High","High","High","FALSE","Low","Lowest","Low","Medium","Low","Medium","Lowest","High","YES","NO","YES","Medium","Medium","Medium","Medium"
"2196","Public","Medium","Medium","Low","High","High","Highest","FALSE","Lowest","Lowest","Low","Lowest","Lowest","Lowest","High","Medium","YES","NO","NO","Medium","Medium","Medium","Medium"
"2198","Public","Highest","High","Low","Low","Lowest","Medium","FALSE","Low","Low","Medium","Medium","Medium","High","Low","Medium","YES","NO","YES","Medium","Medium","Medium","Medium"
"2200","Public","High","Low","Low","Lowest","Lowest","Low","FALSE","Low","Low","Low","Low","Low","Medium","Lowest","Medium","YES","NO","YES","Medium","Medium","Medium","Medium"
"2203","Public","Medium","Medium","Low","Low","Low","Low","FALSE","High","High","High","Medium","Low","Medium","Medium","High","YES","NO","YES","Medium","Medium","Medium","Medium"
"2204","Public","High","Highest","Low","Highest","Highest","Low","FALSE","Low","Lowest","Lowest","Low","Low","Low","Highest","Medium","YES","NO","YES","Medium","Medium","Medium","Medium"
"2209","Public","Highest","Highest","Lowest","Medium","Medium","Highest","FALSE","Medium","Low","High","Low","Low","Medium","Low","Medium","YES","NO","YES","Medium","Medium","Medium","Medium"
"2211","Public","Highest","Highest","Low","High","High","High","FALSE","Highest","Highest","Highest","High","Highest","Highest","Lowest","Highest","YES","NO","YES","Medium","Medium","Medium","Medium"
"2213","Public","High","High","Low","Highest","Highest","Highest","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Low","Highest","Low","YES","NO","NO","Medium","Medium","Medium","Medium"
"2214","Public","Medium","High","Low","Medium","Medium","Low","FALSE","Highest","Low","High","Highest","Highest","High","Lowest","Highest","YES","NO","NO","Medium","Medium","Medium","Medium"
"2215","Public","Highest","Medium","Low","High","High","Medium","FALSE","Lowest","Low","Medium","Low","Low","Medium","Lowest","Medium","YES","NO","NO","Medium","Medium","Medium","Medium"
"2216","Public","Highest","High","Low","High","High","Medium","FALSE","Medium","Medium","High","Highest","High","Highest","Lowest","Low","YES","NO","NO","Medium","Medium","Medium","Medium"
"2217","Public","Highest","Medium","Low","Lowest","Lowest","Highest","FALSE","Medium","Medium","High","Medium","Medium","Highest","Medium","Medium","YES","NO","YES","Medium","Medium","Medium","Medium"
"2218","Public","High","High","Low","Highest","Highest","Medium","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Highest","Low","YES","NO","YES","Medium","Medium","Medium","Medium"
"2219","Public","Medium","Low","Low","High","High","Highest","FALSE","Medium","High","Medium","Medium","Medium","High","High","High","YES","NO","NO","Medium","Medium","Medium","Medium"
"2221","Public","High","Lowest","Low","Lowest","Lowest","Highest","FALSE","Low","Low","Medium","Medium","High","High","Low","Low","YES","NO","NO","Medium","Medium","Medium","Medium"
"2223","Public","Medium","Highest","Low","Low","Low","Low","FALSE","Lowest","Lowest","Low","Lowest","Lowest","Low","Highest","Lowest","YES","NO","NO","Medium","Medium","Medium","Medium"
"2224","Public","Medium","High","Low","High","High","Medium","FALSE","Medium","Low","Low","Medium","Medium","Medium","Medium","Low","YES","NO","YES","Medium","Medium","Medium","Medium"
"2225","Public","Highest","Highest","Low","Low","Low","Highest","FALSE","Medium","Medium","Medium","Highest","High","Highest","Low","Medium","YES","NO","YES","Medium","Medium","Medium","Medium"
"2227","Public","High","Lowest","Low","High","High","High","FALSE","Medium","Low","Medium","Medium","Low","Highest","Low","Low","YES","NO","YES","Medium","Medium","Medium","Medium"
"2229","Public","Low","Low","Low","High","High","High","FALSE","High","High","Low","Lowest","Lowest","Low","Low","Low","YES","NO","NO","Medium","Medium","Medium","Medium"
"2230","Public","High","High","Low","High","High","Lowest","FALSE","High","Medium","High","Lowest","Low","Low","Lowest","Medium","YES","NO","NO","Medium","Medium","Medium","Medium"
"2231","Public","Low","Medium","Low","Low","Low","Medium","FALSE","Low","Lowest","Low","Lowest","Lowest","Low","High","Lowest","YES","NO","NO","Medium","Medium","Medium","Medium"
"2233","Public","Highest","High","Lowest","Highest","Highest","High","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Low","High","Low","YES","NO","YES","Medium","Medium","Medium","Medium"
"2234","Public","Highest","High","Low","High","High","Low","FALSE","Lowest","Lowest","Lowest","Lowest","Low","Medium","High","Medium","YES","NO","YES","Medium","Medium","Medium","Medium"
"2235","Public","Highest","High","Low","High","Lowest","Lowest","FALSE","High","Medium","High","Highest","Highest","High","Lowest","Highest","YES","NO","YES","Medium","Medium","Medium","Medium"
"2241","Public","Low","Medium","Low","Medium","Medium","Highest","FALSE","Low","Lowest","Low","Low","Lowest","Medium","Highest","High","YES","NO","NO","Low","High","High","High"
"2246","Public","Highest","Medium","Low","Lowest","Lowest","Low","FALSE","Medium","Low","Medium","Medium","Medium","Low","Lowest","Highest","YES","NO","YES","Low","High","High","High"
"2247","Public","Lowest","Highest","Low","Highest","Highest","High","FALSE","Low","Lowest","Low","Lowest","Lowest","Lowest","Highest","High","YES","NO","NO","Low","High","High","High"
"2248","Public","Medium","Medium","Lowest","High","High","Medium","FALSE","Low","High","Low","Lowest","Lowest","Lowest","Lowest","High","YES","NO","YES","Low","High","High","High"
"2249","Public","Medium","Medium","Lowest","Medium","Medium","Lowest","FALSE","High","High","High","Highest","Highest","Highest","Medium","Highest","YES","NO","YES","Low","High","High","High"
"2250","Public","Medium","Medium","Low","High","High","High","TRUE","Medium","Low","Low","Low","Low","Low","Low","High","YES","NO","YES","Low","High","High","High"
"2252","Public","Low","High","Lowest","Highest","Highest","Highest","TRUE","Lowest","Lowest","Lowest","Highest","Highest","High","Lowest","Highest","YES","NO","YES","Low","High","High","High"
"2254","Public","Low","High","Low","High","High","Highest","FALSE","Lowest","Lowest","Low","High","Low","Lowest","Lowest","High","YES","NO","YES","Low","High","High","High"
"2255","Public","Lowest","Highest","Lowest","Highest","Highest","Highest","FALSE","Lowest","Low","Lowest","Lowest","Lowest","Lowest","Highest","Medium","YES","NO","NO","Low","High","High","High"
"2256","Public","Highest","Medium","Low","Lowest","Lowest","Lowest","FALSE","Highest","Medium","High","Highest","High","Highest","Lowest","Highest","YES","NO","YES","Low","High","High","High"
"2257","Public","Medium","Highest","Lowest","Highest","Highest","High","FALSE","Low","Lowest","Lowest","Low","Low","Lowest","Highest","Medium","YES","NO","YES","Low","High","High","High"
"2258","Public","Medium","Low","Lowest","Lowest","Lowest","Lowest","FALSE","Highest","High","High","Highest","Highest","Medium","High","Highest","YES","NO","YES","Low","High","High","High"
"2260","Public","Lowest","Highest","Low","Medium","Medium","Highest","FALSE","Low","High","Low","Low","Lowest","Lowest","Highest","Medium","YES","NO","NO","Low","High","High","High"
"2262","Public","High","Low","Lowest","High","High","Lowest","FALSE","Highest","High","Highest","Highest","Highest","Highest","Lowest","Highest","YES","NO","YES","Low","High","High","High"
"2263","Public","Highest","Highest","Lowest","Highest","Highest","Lowest","FALSE","Highest","Highest","Highest","Highest","Highest","Highest","Lowest","Highest","YES","NO","YES","Low","High","High","High"
"2266","Public","High","Highest","Lowest","Highest","Highest","High","FALSE","Low","Medium","Low","Lowest","Lowest","Low","Highest","Medium","YES","NO","NO","Low","High","High","High"
"2268","Public","Highest","Highest","Lowest","High","Medium","Low","FALSE","High","Highest","High","Highest","Highest","Highest","Low","Highest","YES","NO","YES","Low","High","High","High"
"2270","Public","High","Low","Lowest","Lowest","Lowest","Lowest","FALSE","Highest","Medium","High","Highest","Highest","Highest","Lowest","Highest","YES","NO","YES","Low","High","High","High"
"2272","Public","Lowest","Highest","Lowest","Highest","Highest","Medium","FALSE","Lowest","Lowest","Lowest","Lowest","High","Lowest","Highest","Medium","YES","NO","NO","Low","High","High","High"
"2273","Public","Lowest","Highest","Lowest","High","High","Highest","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Highest","Lowest","YES","NO","NO","Low","High","High","High"
"2275","Public","High","High","Lowest","Low","Low","Lowest","FALSE","Low","Lowest","Medium","High","High","Low","High","High","YES","NO","YES","Low","High","High","High"
"2276","Public","Medium","Highest","Lowest","Medium","Medium","Lowest","FALSE","Low","Low","Low","Low","Medium","Low","Highest","High","YES","NO","YES","Low","High","High","High"
"2277","Public","High","Medium","Lowest","Highest","Highest","Low","FALSE","Highest","Highest","High","Highest","Highest","Highest","Low","Highest","YES","NO","YES","Low","High","High","High"
"2278","Public","Lowest","Highest","Low","Highest","Highest","High","FALSE","Lowest","Medium","Low","Lowest","Low","Medium","Highest","Highest","YES","NO","YES","Low","High","High","High"
"2279","Public","Highest","High","Lowest","Low","Medium","Low","FALSE","High","High","Low","Medium","High","High","Lowest","Highest","YES","NO","YES","Low","High","High","High"
"2280","Public","Highest","Lowest","Low","Lowest","Lowest","Medium","FALSE","Highest","High","High","High","High","Medium","Lowest","Highest","YES","NO","YES","Low","High","High","High"
"2282","Public","Highest","Highest","Lowest","High","High","High","FALSE","Low","Low","Low","Low","Low","Low","Highest","High","YES","NO","YES","Low","High","High","High"
"2283","Public","Low","High","Low","High","High","Lowest","FALSE","High","Medium","Medium","Highest","Highest","High","Lowest","High","YES","NO","YES","Low","High","High","High"
"2284","Public","Medium","Medium","Lowest","High","High","High","TRUE","Medium","High","Medium","Medium","Medium","Medium","Lowest","High","YES","NO","YES","Low","High","High","High"
"2289","Public","High","Lowest","Low","Lowest","Lowest","High","FALSE","Highest","Highest","Highest","High","Medium","Medium","Lowest","Highest","YES","NO","YES","Low","High","High","High"
"2291","Public","Highest","Lowest","Low","High","High","Lowest","FALSE","Medium","Medium","Medium","Highest","High","Highest","Lowest","High","YES","NO","YES","Low","High","High","High"
"2294","Public","Medium","High","Lowest","Medium","Medium","High","TRUE","High","High","Medium","Highest","High","Highest","Medium","Highest","YES","NO","YES","Low","High","High","High"
"2297","Public","Highest","Medium","Lowest","Lowest","Lowest","Medium","FALSE","Medium","High","Medium","High","High","Highest","Lowest","Highest","YES","NO","YES","Low","High","High","High"
"2298","Public","Highest","Medium","Lowest","Lowest","Lowest","Lowest","TRUE","Highest","Highest","Highest","High","Highest","High","Lowest","Highest","YES","NO","YES","Low","High","High","High"
"2299","Public","Lowest","Low","Lowest","High","High","High","FALSE","Lowest","Low","Lowest","Low","Lowest","Lowest","Lowest","High","YES","NO","NO","Low","High","High","High"
"2300","Public","High","High","Lowest","Highest","Highest","Lowest","FALSE","Low","Low","Low","Medium","Medium","Low","Medium","High","YES","NO","YES","Low","High","High","High"
"2301","Public","Medium","High","Lowest","Low","Lowest","Medium","FALSE","High","Highest","Medium","Low","Low","Low","Lowest","Highest","YES","NO","YES","Low","High","High","High"
"2303","Public","Lowest","Highest","Low","Highest","Highest","Highest","TRUE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Highest","Medium","YES","NO","NO","Low","High","High","High"
"2305","Public","Low","Medium","Lowest","Medium","Medium","Lowest","FALSE","High","High","High","Highest","High","High","High","Highest","YES","NO","YES","Low","High","High","High"
"2306","Public","Low","Medium","Lowest","High","High","Lowest","FALSE","Medium","Low","Low","Highest","Highest","High","Medium","Highest","YES","NO","YES","Low","High","High","High"
"2309","Public","High","High","Lowest","Lowest","Lowest","Lowest","FALSE","High","High","Highest","High","High","Medium","Lowest","High","YES","NO","YES","Low","High","High","High"
"2310","Public","Highest","Low","Lowest","Medium","Medium","Low","TRUE","Highest","Highest","Highest","High","High","High","Lowest","Highest","YES","NO","YES","Low","High","High","High"
"2311","Public","Highest","Highest","Low","Low","Lowest","Lowest","FALSE","High","Highest","Highest","Highest","Highest","Highest","Lowest","Highest","YES","NO","YES","Low","High","High","High"
"2314","Public","Lowest","Medium","Low","High","High","Highest","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Low","Medium","Highest","YES","NO","NO","Low","High","High","High"
"2315","Public","High","Medium","Lowest","High","High","Medium","FALSE","Highest","Highest","Highest","Highest","High","High","Medium","Highest","YES","NO","YES","Low","High","High","High"
"2316","Public","Highest","High","Lowest","Medium","Medium","High","TRUE","Medium","Low","Medium","Medium","Medium","Medium","Low","Medium","YES","NO","YES","Low","High","High","High"
"2317","Public","High","Medium","Lowest","High","High","Highest","FALSE","Low","Low","Low","Medium","Medium","Low","Lowest","High","YES","NO","YES","Low","High","High","High"
"2320","Public","Low","Lowest","Lowest","Low","Lowest","Highest","FALSE","Medium","Medium","Medium","Highest","Highest","Low","Low","Highest","YES","NO","NO","Low","High","High","High"
"2322","Public","Highest","Medium","Low","High","High","High","FALSE","Low","Lowest","Lowest","Medium","Low","Low","Lowest","Highest","YES","NO","YES","Low","High","High","High"
"2323","Public","Highest","Lowest","Lowest","High","High","High","FALSE","Medium","Low","Medium","Medium","Medium","Medium","Lowest","Highest","YES","NO","YES","Low","High","High","High"
"2324","Public","Highest","Highest","Low","Medium","Medium","Medium","FALSE","High","Highest","Medium","Highest","Highest","Highest","Lowest","Highest","YES","NO","YES","Low","High","High","High"
"2328","Public","Medium","Highest","Lowest","Highest","Highest","Lowest","FALSE","Lowest","Lowest","Lowest","Low","Low","Medium","Highest","High","YES","NO","YES","Low","High","High","High"
"2329","Public","Lowest","Highest","Lowest","Highest","Highest","High","FALSE","High","High","Highest","Medium","High","Medium","Low","Highest","YES","NO","YES","Low","High","High","High"
"2330","Public","High","Highest","Lowest","Low","Lowest","Lowest","FALSE","High","High","Highest","Highest","Highest","Highest","Lowest","Highest","NO","NO","YES","Low","High","High","High"
"2332","Public","Highest","Highest","Lowest","Highest","Highest","High","TRUE","High","High","High","Medium","Medium","High","Medium","Highest","YES","NO","YES","Low","High","High","High"
"2333","Public","Medium","Highest","Lowest","Highest","Highest","Lowest","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Low","Highest","Low","YES","NO","NO","Low","High","High","High"
"2334","Public","Medium","Lowest","Low","High","High","Medium","FALSE","Medium","Medium","Low","Lowest","Lowest","Low","Lowest","High","YES","NO","YES","Low","High","High","High"
"2335","Public","Medium","High","Low","Medium","Medium","Medium","FALSE","Lowest","Lowest","Low","Lowest","Lowest","Lowest","Highest","Medium","YES","NO","YES","Low","High","High","High"
"2336","Public","Medium","Highest","Lowest","High","High","Low","FALSE","Medium","Low","Medium","High","High","Medium","High","High","YES","NO","YES","Low","High","High","High"
"2337","Public","Highest","High","Lowest","Medium","Medium","Lowest","FALSE","Low","Low","Low","Medium","High","Medium","Highest","High","YES","NO","YES","Low","High","High","High"
"2338","Public","Medium","Highest","Lowest","Highest","Highest","Highest","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Highest","Low","YES","NO","YES","Low","High","High","High"
"2340","Public","Highest","Highest","Lowest","Highest","Highest","Lowest","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Low","Highest","High","YES","NO","YES","Low","High","High","High"
"2343","Public","Medium","Highest","Lowest","Highest","Highest","High","FALSE","Low","Lowest","Lowest","Lowest","Lowest","Low","High","High","YES","NO","YES","Low","High","High","High"
"2345","Public","Lowest","Medium","Low","Lowest","Lowest","Highest","FALSE","Low","Low","Low","Lowest","Lowest","Lowest","Highest","Lowest","YES","NO","NO","Lowest","Low","Low","Low"
"2346","Public","Medium","Medium","Low","Lowest","Lowest","Medium","FALSE","Low","Low","Medium","Low","Low","Low","High","Lowest","YES","NO","YES","Lowest","Low","Low","Low"
"2349","Public","Lowest","Medium","Low","Lowest","Lowest","Highest","FALSE","Lowest","Medium","Medium","Low","Low","Medium","High","Lowest","YES","NO","NO","Lowest","Low","Low","Low"
"2353","Public","Lowest","Medium","Low","Lowest","Lowest","Highest","FALSE","Lowest","Low","Lowest","Low","Lowest","Low","High","Lowest","YES","NO","NO","Lowest","Low","Low","Low"
"2356","Public","Lowest","Low","Lowest","Lowest","Lowest","High","FALSE","Highest","Highest","Highest","Highest","Highest","Highest","Medium","Low","YES","NO","YES","Lowest","Low","Low","Low"
"2358","Public","Lowest","Medium","Low","Lowest","Lowest","High","FALSE","High","Lowest","Medium","Highest","Medium","Medium","High","Low","YES","NO","NO","Lowest","Low","Low","Low"
"2360","Public","Medium","Lowest","Lowest","Lowest","Lowest","Highest","FALSE","Low","Lowest","Low","Low","Lowest","Lowest","Lowest","Medium","YES","NO","YES","Lowest","Low","Low","Low"
"2361","Public","Medium","Medium","Low","Lowest","Lowest","Low","FALSE","High","Low","Medium","Lowest","Low","Lowest","High","Lowest","YES","NO","YES","Lowest","Low","Low","Low"
"2362","Public","Lowest","Medium","Lowest","Lowest","Lowest","Medium","FALSE","Medium","Low","Low","Low","Medium","High","Low","Low","YES","NO","YES","Lowest","Low","Low","Low"
"2364","Public","Lowest","Medium","Low","Lowest","Lowest","High","FALSE","Low","Medium","High","Lowest","Lowest","Lowest","Medium","Lowest","YES","NO","NO","Lowest","Low","Low","Low"
"2368","Public","High","Medium","Low","Lowest","Lowest","Lowest","FALSE","Low","Low","Low","Highest","High","Highest","Lowest","Medium","NO","NO","YES","Lowest","Low","Low","Low"
"2369","Public","Medium","Medium","Low","Lowest","Lowest","High","FALSE","High","Highest","Low","Medium","Low","Low","Low","Low","YES","NO","YES","Lowest","Low","Low","Low"
"2370","Public","Lowest","Medium","Lowest","Lowest","Lowest","High","FALSE","Highest","Highest","Highest","Highest","Low","High","High","Lowest","YES","NO","NO","Lowest","Low","Low","Low"
"2371","Public","Medium","Medium","Low","Lowest","Lowest","Highest","FALSE","Low","Low","Lowest","Low","Low","Low","Lowest","Medium","YES","NO","NO","Lowest","Low","Low","Low"
"2372","Public","Low","Medium","Low","Lowest","Lowest","Lowest","FALSE","Medium","Low","Low","High","Low","Lowest","Low","Medium","YES","NO","YES","Lowest","Low","Low","Low"
"2373","Public","Lowest","Medium","Low","Lowest","Lowest","High","FALSE","Medium","Medium","Highest","Highest","High","High","Medium","Medium","YES","NO","NO","Lowest","Low","Low","Low"
"2374","Public","Low","Medium","Low","Lowest","Lowest","Highest","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Highest","Lowest","YES","NO","NO","Lowest","Low","Low","Low"
"2376","Public","Low","Medium","Low","Lowest","Lowest","Highest","FALSE","Low","Medium","Highest","Lowest","Lowest","Lowest","High","Lowest","YES","NO","NO","Lowest","Low","Low","Low"
"2379","Public","Medium","Medium","Low","Lowest","Lowest","Medium","FALSE","Medium","Medium","Medium","Low","Low","Medium","Low","Medium","YES","NO","YES","Lowest","Low","Low","Low"
"2381","Public","Medium","Medium","Low","Lowest","Lowest","Low","FALSE","High","Medium","High","Medium","Low","High","Medium","Low","YES","NO","NO","Lowest","Low","Low","Low"
"2382","Public","Lowest","Medium","Low","Lowest","Lowest","Highest","FALSE","Low","Low","Lowest","Lowest","Lowest","Lowest","Medium","Lowest","YES","NO","YES","Lowest","Low","Low","Low"
"2385","Public","Medium","Medium","Lowest","Lowest","Lowest","Low","FALSE","Low","High","Medium","Medium","High","Low","Low","Low","YES","NO","YES","Lowest","Low","Low","Low"
"2386","Public","Lowest","Medium","Low","Lowest","Lowest","Highest","FALSE","Highest","Highest","Highest","Highest","Highest","Highest","Low","Medium","YES","NO","NO","Lowest","Low","Low","Low"
"2388","Public","Lowest","Medium","Low","Lowest","Lowest","Highest","FALSE","Medium","Medium","High","High","Medium","High","High","Lowest","YES","NO","YES","Lowest","Low","Low","Low"
"2389","Public","Lowest","Medium","Low","Lowest","Lowest","Medium","FALSE","Highest","Highest","Highest","Highest","High","High","Low","High","YES","NO","NO","Lowest","Low","Low","Low"
"2390","Public","High","High","Lowest","Low","Low","High","FALSE","Lowest","Lowest","Lowest","Low","Lowest","Low","High","Lowest","YES","NO","YES","Lowest","Low","Low","Low"
"2392","Public","High","Medium","Low","Lowest","Lowest","Highest","FALSE","Low","Low","Medium","Low","Low","Low","Highest","Lowest","YES","NO","YES","Lowest","Low","Low","Low"
"2401","Public","Low","Medium","Lowest","Lowest","Lowest","Lowest","FALSE","Highest","High","High","Highest","High","Highest","Medium","Low","NO","NO","YES","Lowest","Low","Low","Low"
"2402","Public","Highest","Lowest","Low","Lowest","Lowest","Medium","FALSE","Low","Low","Lowest","Medium","High","Low","Highest","Lowest","YES","NO","YES","Lowest","Low","Low","Low"
"2404","Public","Lowest","Medium","Low","Lowest","Lowest","Highest","FALSE","Low","Low","Low","Low","High","High","High","Lowest","YES","NO","NO","Lowest","Low","Low","Low"
"2408","Public","High","Medium","Low","Lowest","Lowest","Low","FALSE","High","High","High","Highest","Highest","Low","Medium","Low","YES","NO","YES","Lowest","Low","Low","Low"
"2410","Public","Low","Medium","Low","Lowest","Lowest","High","FALSE","Medium","Highest","Low","Lowest","Lowest","Low","High","Low","YES","NO","NO","Lowest","Low","Low","Low"
"2412","Public","High","Medium","Low","Lowest","Lowest","High","FALSE","Low","Medium","Low","Low","Low","Low","Highest","Lowest","YES","NO","YES","Lowest","Low","Low","Low"
"2414","Public","Lowest","Medium","Low","Lowest","Lowest","Highest","FALSE","Medium","High","High","Lowest","High","Medium","Low","Medium","YES","NO","NO","Lowest","Low","Low","Low"
"2416","Public","Low","Medium","Low","Lowest","Lowest","High","FALSE","Highest","Low","High","Medium","Low","Medium","Lowest","High","YES","NO","YES","Lowest","Low","Low","Low"
"2417","Public","Lowest","Medium","Lowest","Lowest","Lowest","High","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Medium","Lowest","YES","NO","NO","Lowest","Low","Low","Low"
"2418","Public","Lowest","Medium","Low","Lowest","Lowest","Highest","FALSE","Lowest","Lowest","Lowest","Medium","Medium","Medium","Highest","Lowest","YES","NO","NO","Lowest","Low","Low","Low"
"2419","Public","Lowest","Low","Lowest","Lowest","Lowest","High","FALSE","High","High","Medium","Highest","Highest","Low","Low","Low","YES","NO","NO","Lowest","Low","Low","Low"
"2420","Public","Lowest","Medium","Low","Lowest","Lowest","Medium","FALSE","High","Low","Low","Highest","Highest","Highest","Medium","Medium","YES","NO","NO","Lowest","Low","Low","Low"
"2421","Public","High","High","Lowest","Lowest","Lowest","Medium","FALSE","Low","Medium","Low","Low","High","Lowest","Highest","Lowest","YES","NO","YES","Lowest","Low","Low","Low"
"2424","Public","Lowest","Medium","Lowest","Lowest","Lowest","High","FALSE","Lowest","Lowest","Lowest","Medium","Medium","Medium","Low","Low","YES","NO","YES","Lowest","Low","Low","Low"
"2427","Public","Highest","Low","Lowest","Lowest","Lowest","Medium","FALSE","Low","Medium","Low","High","High","Low","Lowest","High","YES","NO","YES","Highest","Lowest","Lowest","Lowest"
"2428","Public","Lowest","Low","Low","Medium","Medium","Medium","FALSE","Lowest","Lowest","Lowest","Low","Low","High","Low","Low","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2429","Public","High","Lowest","Low","Low","Lowest","Lowest","FALSE","Low","Low","Lowest","Low","High","High","High","Medium","YES","NO","YES","Highest","Lowest","Lowest","Lowest"
"2430","Public","Low","Low","Low","Medium","Medium","Highest","FALSE","Lowest","Lowest","Lowest","Medium","Low","Lowest","Highest","Lowest","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2433","Public","Medium","Low","Low","Medium","Medium","Highest","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Low","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2434","Public","High","Lowest","Lowest","Medium","Medium","High","FALSE","Lowest","Lowest","Low","Medium","Low","Lowest","Low","High","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2435","Public","Lowest","Low","Low","Medium","Medium","Medium","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Low","Low","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2437","Public","Lowest","Medium","Low","High","High","Low","FALSE","Highest","High","High","Low","Medium","Low","Low","High","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2438","Public","Lowest","Low","Low","Medium","Medium","Highest","FALSE","Lowest","Low","Low","Lowest","Lowest","Lowest","Highest","Lowest","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2439","Public","Low","Low","Low","Medium","Medium","High","FALSE","Highest","High","Highest","Highest","High","High","Lowest","High","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
