"","BoardID","SchoolID","Board.Type","School.Type","School.Special.Condition.Code","School.Language","Enrolment","Percentage.of.Students.Whose.First.Language.Is.Not.English","Percentage.of.Students.Whose.First.Language.Is.Not.French","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.English.Speaking.Country","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.French.Speaking.Country","Percentage.of.Students.Receiving.Special.Education.Services","Percentage.of.Students.Identified.as.Gifted","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Children.Who.Live.in.Low.Income.Households","Percentage.of.Students.Whose.Parents.Have.Some.University.Education","FSL.Core","FSL.Extended","FSL.Immersion","Junior.Kindergarten.Enrolment","Kindergarten.Enrolment","Grade.1.Enrolment","Grade.2.Enrolment","Grade.3.Enrolment","Grade.4.Enrolment","Grade.5.Enrolment","Grade.6.Enrolment","Grade.7.Enrolment","Grade.8.Enrolment","Board.Language","Elementary.Male.Educators","Elementary.Female.Educators"
"1499","B66109","314617","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",308,"SP","99.7","SP","SP","16.5","SP","72%","72%","48%","71%","54%","38%","20.2","26.5","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1501","B66109","337030","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",285,"SP","100",NA,NA,"24.9",NA,"73%","67%","55%","72%","69%","52%","7.5","27.7","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1502","B66109","334820","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",476,"10.7","100","2.7","2.7","16.3",NA,"62%","51%","47%","73%","54%","17%","23.4","31.5","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1504","B66109","414123","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",319,"3.4","100","3.8","3.8","22.5","SP","50%","42%","55%","67%","57%","19%","29.2","34.2","YES","NO","YES","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1505","B66109","244996","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",539,"SP","100","SP","SP","18.1","SP","70%","82%","73%","49%","46%","20%","30.7","18.1","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1506","B66109","543438","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",398,"SP","100","SP","SP","14.8","SP","86%","80%","66%","94%","91%","53%","8.7","26.4","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1507","B66109","612405","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",606,"4.6","100","2.5","2.5","18.1","SP","64%","60%","57%","76%","64%","36%","14.9","29.1","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1508","B66109","412570","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",215,"SP","100","SP","SP","12.5",NA,"53%","47%","47%","88%","75%","42%","14.9","51.6","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1509","B66109","574287","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",526,"SP","100","SP","SP","17.8",NA,"56%","53%","47%","57%","51%","17%","17.4","16.8","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1510","B66109","285684","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",223,"8.1","100","5.4","6.3","18.8","SP","44%","56%","44%","65%","55%","15%","16.3","30.6","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1511","B66109","366544","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",488,"SP","100",NA,NA,"12.2","2","83%","62%","60%","91%","81%","72%","4.1","61.9","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1512","B66109","160172","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",251,"SP","99.6",NA,NA,"20.7","SP","83%","79%","71%","85%","69%","42%","4.5","54.1","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1513","B66109","595047","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",213,NA,"100",NA,NA,"20.6",NA,"78%","70%","70%","79%","64%","21%","9.2","35.8","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1514","B66109","579190","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",598,"5.4","100","1.7","1.7","14.3","SP","75%","78%","75%","81%","82%","61%","11.8","26.8","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1515","B66109","557897","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",362,"SP","100","SP","SP","14.6","SP","69%","66%","59%","71%","66%","29%","8.7","33.1","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1516","B66109","111465","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",275,"SP","100","SP","SP","17",NA,"83%","71%","54%","69%","67%","25%","17.4","25.8","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1517","B66109","257346","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",503,"6","99.6","2.6","3.4","16.8","SP","59%","51%","48%","71%","63%","26%","22.2","25.5","YES","YES","YES","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1519","B66109","273988","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",356,"SP","99.7","SP","SP","21","SP","69%","58%","53%","64%","62%","38%","29.7","15.9","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1520","B66109","116815","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",434,"SP","100","SP","SP","19.3","3.9","68%","63%","58%","81%","79%","58%","11","36.9","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1522","B66109","451649","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",605,"6.4","100","2.1","2.1","18.6","SP","57%","62%","40%","83%","72%","45%","25.9","25.5","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1523","B66109","181757","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",561,"3.6","100","SP","SP","18.1","SP","70%","47%","47%","62%","60%","31%","11.6","24.8","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1525","B66109","456756","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",698,"46","99.9","5.7","5.9","12.3","SP","76%","76%","68%","88%","85%","52%","14.4","38.5","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1526","B66109","277495","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",676,"11.1","100","1.5","SP","14.6",NA,"66%","57%","62%","74%","68%","45%","15.3","20.5","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1527","B66109","311251","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",297,"5.7","100","SP","SP","18.8","SP","68%","79%","61%","88%","76%","32%","18.4","36.1","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1528","B66109","559075","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",357,"5","99.7","SP","SP","10.6",NA,"70%","76%","48%","76%","71%","35%","11.4","28.5","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1529","B66109","195812","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",638,"4.1","100","SP","SP","14.8","SP","70%","59%","60%","84%","84%","33%","11.1","40.8","YES","NO","YES","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1530","B66109","466951","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",572,"SP","99.1","SP","SP","14.1","SP","55%","42%","64%","73%","67%","45%","25.8","22.6","YES","YES","YES","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1531","B66109","594970","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",534,"5.8","100","2.4","2.4","20.5","SP","71%","70%","55%","83%","77%","25%","20.7","31.9","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1532","B66109","547123","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",499,"7.2","100","2.2","2.2","11.8","SP","90%","90%","69%","82%","78%","48%","15.9","34.8","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1533","B66109","622028","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",259,"6.2","99.2",NA,NA,"6.9",NA,"80%","87%","63%","86%","82%","73%","8.9","31.1","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1534","B66109","595993","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",138,"8","99.3","SP","SP","27.5","SP","79%","79%","64%","83%","78%","56%","9.1","51.5","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1536","B66109","419346","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",439,"SP","100","SP","SP","21.8","SP","73%","63%","71%","76%","63%","47%","19.1","22.9","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1538","B66109","275670","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",157,"SP","100","SP","SP","11.4",NA,"93%","57%","71%","82%","86%","64%","13.9","35.6","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1539","B66109","412430","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",300,NA,"100",NA,NA,"19.6","SP","69%","69%","66%","83%","72%","21%","13.5","38.6","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1540","B66109","384550","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",815,"22.3","100","4.4","4.4","11.2",NA,"69%","67%","49%","87%","82%","61%","13.3","41.6","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1541","B66109","336289","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",621,"13.5","100","3.9","3.9","13.3","SP","80%","82%","67%","87%","84%","61%","12.1","31.2","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1542","B66109","130893","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",333,"7.2","100","6","6","29.1","SP","63%","71%","55%","89%","89%","58%","31.8","14.9","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1544","B66109","225946","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",597,"8.5","100","3","3.2","14.7","SP","89%","90%","86%","87%","89%","40%","9.8","40.2","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1546","B66109","122092","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",305,"SP","99.3","SP","SP","16.7","SP","70%","56%","56%","68%","71%","21%","8.7","10.1","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1547","B66109","636037","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",363,"SP","100",NA,NA,"12.9","SP","74%","66%","63%","79%","68%","36%","15.8","17.3","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1548","B66109","384259","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",243,"SP","100",NA,NA,"17.6",NA,"65%","48%","57%","78%","78%","26%","7","27.8","YES","NO","NO","3,262","3,537","3,580","3,641","3,812","3,685","3,778","3,716","3,718","3,737","English","480.40","2,075.50"
"1549","B66117","458384","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",205,"17.6","100","11.2","11.2","17.5",NA,"58%","46%","33%","73%","65%","31%","22.4","43.8","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1550","B66117","506264","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",299,"SP","100","SP","SP","5.3",NA,"79%","76%","48%","N/D","N/D","N/D","4.9","50.2","YES","NO","YES","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1551","B66117","209635","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",353,"SP","100",NA,NA,"20.9",NA,"90%","70%","65%","95%","91%","42%","9.9","40","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1552","B66117","477416","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",348,"5.7","100","2.9","2.9","29.3","SP","67%","67%","52%","59%","55%","24%","21.5","39.2","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1553","B66117","457930","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",314,"SP","99.7","SP","SP","20.3",NA,"62%","72%","34%","84%","75%","28%","21.3","16.5","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1554","B66117","178969","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",432,NA,"99.8",NA,NA,"21.7","SP","90%","97%","62%","79%","74%","34%","7.1","45.2","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1555","B66117","271678","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",447,"23.3","99.8","6.7","6.7","17.4","SP","96%","92%","82%","90%","87%","71%","7.4","70.4","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1556","B66117","368822","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",502,"2.4","100","SP","SP","18.1","SP","80%","75%","60%","85%","88%","81%","5.7","34.8","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1557","B66117","576107","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",196,"SP","99.5","SP","SP","19.8",NA,"48%","52%","32%","80%","80%","50%","14.5","29.2","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1559","B66117","418765","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",519,"6.6","99.8","SP","SP","12.5","SP","77%","81%","59%","91%","89%","54%","7.4","42.3","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1560","B66117","381646","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",664,"33.9","99.7","5.3","5.3","15.5","SP","80%","82%","74%","93%","88%","77%","6.1","69.2","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1561","B66117","431150","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",473,"18.6","99.4","4.4","4.4","4.4",NA,"68%","70%","52%","85%","70%","65%","18.5","40.3","YES","NO","YES","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1562","B66117","457159","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",614,"2.4","99.7","SP","SP","8.1",NA,"87%","89%","62%","83%","78%","13%","15.8","44","YES","NO","YES","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1563","B66117","609552","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",359,"27.6","99.7","10.6","10.6","22.2",NA,"73%","64%","55%","74%","58%","42%","32.3","33.6","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1564","B66117","488879","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",360,"SP","100","SP","SP","24.4","SP","75%","75%","55%","83%","84%","55%","4.6","49.1","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1565","B66117","208310","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",175,"SP","98.3","SP","SP","20","SP","89%","68%","68%","93%","100%","60%","7.6","57.6","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1566","B66117","185329","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",90,NA,"100",NA,NA,"23.3",NA,"69%","62%","46%","100%","90%","50%","11.6","43.5","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1567","B66117","145882","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",473,"8.7","99.8","3","3.2","14.7","SP","83%","76%","70%","90%","88%","69%","6.8","63.3","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1568","B66117","208620","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",254,"12.6","100","SP","SP","29.5",NA,"71%","71%","36%","66%","66%","11%","20.5","33","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1570","B66117","452491","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",468,"3.2","99.8","SP","SP","16.2","SP","89%","85%","74%","86%","71%","45%","11.7","36.9","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1572","B66117","590665","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",494,"9.3","99.6","SP","SP","46.7","24.8","63%","40%","43%","93%","84%","74%","11.6","44","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1573","B66117","450006","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",181,"SP","99.4","SP","SP","13.2",NA,"80%","80%","65%","79%","86%","29%","SP","48","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1574","B66117","461059","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",379,"5.5","100","3.7","3.7","15","SP","84%","86%","74%","80%","80%","52%","7.6","51.3","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1575","B66117","226793","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",249,"SP","100",NA,NA,"18.4","SP","65%","40%","30%","90%","86%","48%","22.6","30.1","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1576","B66117","428817","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",217,"SP","100","SP","SP","28.5",NA,"81%","81%","42%","72%","62%","22%","19","29.3","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1577","B66117","311316","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",285,"4.9","98.9","SP","SP","16.1",NA,"43%","43%","33%","83%","83%","51%","5.2","43.9","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1578","B66117","185191","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",403,"3.2","99.8","SP","SP","10.4","SP","90%","66%","44%","90%","88%","64%","8.4","44.5","YES","NO","YES","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1579","B66117","284254","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",635,"8.7","98.6","SP","SP","13","SP","76%","71%","69%","94%","90%","59%","11.7","60.4","NO","NO","YES","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1581","B66117","438170","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",130,NA,"100",NA,NA,"17.6",NA,"80%","80%","80%","76%","76%","67%","13.6","22.9","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1582","B66117","548618","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",391,"50.4","100","3.3","3.3","16.3","SP","75%","75%","64%","88%","85%","54%","7.4","41.5","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1583","B66117","148539","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",349,"5.7","99.4","4","4","20.9",NA,"88%","88%","78%","79%","74%","44%","17.6","17.1","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1584","B66117","199699","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",295,"13.9","99.7","4.1","4.1","8.4","SP","73%","73%","60%","93%","86%","25%","13.1","62.9","NO","NO","YES","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1585","B66117","369535","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",393,"SP","99.5",NA,NA,"16.2","SP","40%","40%","27%","82%","84%","45%","11.4","44.6","YES","NO","YES","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1586","B66117","603244","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",373,"23.3","100","7","7","19.5",NA,"65%","65%","32%","62%","60%","40%","17.1","36.8","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1587","B66117","296082","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",474,"3.6","99.6","SP","SP","5.9","SP","84%","76%","47%","100%","98%","50%","13.5","53.8","NO","NO","YES","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1588","B66117","282324","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",597,"SP","100",NA,NA,"16.7","SP","74%","66%","61%","87%","76%","37%","8.5","30.6","YES","NO","YES","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1589","B66117","282316","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",367,"26.7","98.9","9","10.1","13.3","SP","66%","56%","54%","88%","82%","79%","25.7","62.9","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1592","B66117","184411","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",118,NA,"100",NA,NA,"17.7","SP","100%","94%","75%","100%","95%","63%","SP","47.5","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1593","B66117","366668","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",436,"4.8","100","3.2","3.2","15.3",NA,"77%","73%","75%","67%","73%","24%","21.6","13","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1594","B66117","586866","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",487,"10.9","99.4","2.3","2.7","17.6","SP","72%","57%","53%","80%","81%","46%","6","47","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1595","B66117","497193","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",213,"4.7","100","SP","SP","16.9","SP","65%","68%","58%","75%","86%","29%","6.5","44","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1596","B66117","418790","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",410,"2.7","100","SP","SP","18.5",NA,"81%","72%","58%","90%","83%","24%","8.2","44","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1597","B66117","432458","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",414,"3.1","99.8","SP","SP","14.7","SP","61%","55%","42%","66%","60%","29%","15.1","20.5","YES","NO","YES","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1599","B66117","166472","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",369,"7","100","SP","SP","5.6","SP","90%","97%","56%","98%","98%","94%","12.7","39.6","NO","NO","YES","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1600","B66117","577014","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",267,"5.6","99.6","4.5","4.5","8.2","SP","92%","69%","88%","88%","94%","53%","11.3","69.5","YES","NO","YES","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1601","B66117","158764","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",348,"7.2","99.4","SP","SP","SP",NA,"56%","51%","38%","N/D","N/D","N/D","9.8","38.6","NO","NO","YES","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1602","B66117","286729","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",183,"8.7","100","SP","SP","25.1",NA,"50%","58%","38%","65%","48%","43%","15","25.2","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
