Board Number,Board Name,Board Type,School Number,School Name,School Type,School Special Condition Code,School Level,School Language,Grade Range,Building Suite,P.O. Box,Street,Municipality,City,Province,Postal Code,Phone Number,Fax Number,School Website,Board Website,Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Percentage of Grade 3 Students Achieving the Provincial Standard in Reading,Change in Grade 3 Reading Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Writing,Change in Grade 3 Writing Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Mathematics,Change in Grade 3 Mathematics Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Reading,Change in Grade 6 Reading Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Writing,Change in Grade 6 Writing Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Mathematics,Change in Grade 6 Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Academic Mathematics,Change in Grade 9 Academic Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Applied Mathematics,Change in Grade 9 Applied Mathematics Achievement Over Three Years,Percentage of Students That Passed the Grade 10 OSSLT on Their First Attempt,Change in Grade 10 OSSLT Literacy Achievement Over Three Years,Percentage of Children Who Live in Low-Income Households,Percentage of Students Whose Parents Have Some University Education,Extract Date
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),821195,St Marguerite d'Youville Elementary School,Catholic,Not applicable,Elementary,English,JK-6,,,89 Lorry Greenberg Dr,Ottawa,Ottawa,Ontario,K1T3J6,613-737-1141,613-737-6450,http://smy.ocsb.ca,http://www.ottawacatholicschools.ca, 348 ,45.3676,-75.6249,12.6,99.1,7.8,7.8,16.3,NA,72%,-12,88%,2,70%,-3,75%,-1,67%,-11,38%,-10,NA,NA,NA,NA,NA,NA,27.4,53.6,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),864331,St Mark High School,Catholic,Not applicable,Secondary,English,9-12,,,1040 Dozois Rd 1,Ottawa,Manotick,Ontario,K4M1B2,613-692-2552,613-692-2447,http://mrh.ocsb.ca,http://www.ottawacatholicschools.ca, 699 ,45.24442,-75.64813,3,98.6,NA,SP,28.1,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89%,-6,57%,5,87%,-3,5.5,58.8,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),827843,St Mark Intermediate School,Catholic,Not applicable,Elementary,English,7-8,,,1040 Dozois Rd 1,Ottawa,Manotick,Ontario,K4M1B2,613-692-2551,613-692-2447,http://mrh.ocsb.ca,http://www.ottawacatholicschools.ca, 337 ,45.24387,-75.64762,3.9,98.2,SP,SP,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,63.9,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),708267,St Martin de Porres Elementary School,Catholic,Not applicable,Elementary,English,JK-6,,,20 McKitrick Dr,Ottawa,Kanata,Ontario,K2L1T7,613-836-4754,613-836-0843,http://mrt.ocsb.ca,http://www.ottawacatholicschools.ca, 466 ,45.29285,-75.88454,11.8,99.4,SP,SP,15.8,NA,70%,-7,61%,-30,39%,-25,87%,1,78%,-8,45%,3,NA,NA,NA,NA,NA,NA,12.7,41.4,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),708739,St Mary (Gloucester) Elementary School,Catholic,Not applicable,Elementary,English,JK-6,,,5536 BANK ST,Ottawa,GLOUCESTER,Ontario,K1X1G9,613-822-2985,613-822-0288,http://mry.ocsb.ca,http://www.ottawacatholicschools.ca, 351 ,45.2799,-75.57113,4,98.6,SP,SP,11.1,NA,83%,21,81%,4,74%,2,82%,1,91%,-1,38%,-6,NA,NA,NA,NA,NA,NA,6.3,60.5,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),704873,St Matthew High School,Catholic,Not applicable,Secondary,English,9-12,,,6550 Bilberry Dr,Ottawa,Orleans,Ontario,K1C2S9,613-837-3161,613-830-8333,http://mth.ocsb.ca,http://www.ottawacatholicschools.ca, 647 ,45.48039,-75.53238,14.1,95.2,2.3,2.3,25.5,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93%,2,44%,-20,87%,3,7.7,56.5,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),828386,St Matthew Intermediate School,Catholic,Not applicable,Elementary,English,7-8,,,6550 Bilberry Dr,Ottawa,Orleans,Ontario,K1C2S9,613-837-3161,613-830-8333,http://mth.ocsb.ca,http://www.ottawacatholicschools.ca, 268 ,45.48039,-75.53238,10.8,97,4.1,4.1,23.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,58.6,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),720569,St Michael (Corkery) Elementary School,Catholic,Not applicable,Elementary,English,JK-6,,,1572 Corkery Rd,Ottawa,Carp,Ontario,K0A1L0,613-256-3672,613-256-3672,http://mic.ocsb.ca,http://www.ottawacatholicschools.ca, 306 ,45.28396,-76.10082,SP,99.7,SP,SP,13,NA,88%,12,70%,-4,66%,1,98%,9,95%,13,77%,19,NA,NA,NA,NA,NA,NA,5.8,60.2,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),707694,St Michael (Fitzroy) Elementary School,Catholic,Not applicable,Elementary,English,JK-8,,,159 Kedey St,Ottawa,Fitzroy Harbour,Ontario,K0A1X0,613-623-3114,613-623-1984,http://mif.ocsb.ca,http://www.ottawacatholicschools.ca, 150 ,45.4715,-76.21605,SP,100,NA,NA,23.3,NA,86%,40,90%,52,81%,35,100%,7,89%,2,89%,-4,NA,NA,NA,NA,NA,NA,11,40.8,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),833010,St Michael Elementary School,Catholic,Not applicable,Elementary,English,JK-6,,,437 Donald St,Ottawa,Ottawa,Ontario,K1K1L8,613-749-1642,613-749-1710,http://smi.ocsb.ca,http://www.ottawacatholicschools.ca, 190 ,45.42864,-75.64854,25.8,96.3,9.5,10.5,13.1,NA,48%,43,64%,44,33%,23,52%,9,45%,16,6%,6,NA,NA,NA,NA,NA,NA,61.5,21.6,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),835617,St Monica Elementary School,Catholic,Not applicable,Elementary,English,JK-6,,,2000 Merivale Rd,Ottawa,Nepean,Ontario,K2G1G6,613-226-5174,613-226-5157,http://mon.ocsb.ca,http://www.ottawacatholicschools.ca, 238 ,45.323,-75.7178,8,99.6,SP,4.2,12.1,NA,72%,-13,67%,-22,44%,-30,91%,-5,91%,-5,68%,-5,NA,NA,NA,NA,NA,NA,15.4,63.9,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),836265,St Nicholas Adult High School,Catholic,Not applicable,Secondary,English,9-12,,,893 Admiral Ave,Ottawa,Ottawa,Ontario,K1Z6L6,613-228-8888,613-228-9967,http://ads.ocsb.ca,http://www.ottawacatholicschools.ca, 868 ,45.38417,-75.72909,25.8,95,9,8.8,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/D,NA,21.6,42.3,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),688878,St Patrick Elementary School,Catholic,Not applicable,Elementary,English,JK-6,,,68 Larkin Dr,Ottawa,Nepean,Ontario,K2J1A9,613-825-4012,613-825-1552,http://pat.ocsb.ca,http://www.ottawacatholicschools.ca, 292 ,45.28363,-75.76068,10.6,98.6,4.8,5.1,10.2,NA,82%,10,82%,-9,69%,7,89%,9,74%,-6,26%,-17,NA,NA,NA,NA,NA,NA,9.1,60.2,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),816132,St Patrick's High School,Catholic,Not applicable,Secondary,English,9-12,,,2525 Alta Vista Dr,Ottawa,Ottawa,Ontario,K1V7T3,613-733-0501,613-526-3198,http://sph.ocsb.ca,http://www.ottawacatholicschools.ca, 816 ,45.37795,-75.65996,42.3,94.9,16.1,16.1,16.5,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86%,8,54%,7,80%,7,32.8,40.7,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),841900,St Patrick's Intermediate School,Catholic,Not applicable,Elementary,English,7-8,,,2525 Alta Vista Drive Dr,Ottawa,Ottawa,Ontario,K1V7T3,613-733-0501,613-526-3198,http://sph.ocsb.ca,http://www.ottawacatholicschools.ca, 330 ,45.38079,-75.6532,29.1,98.2,15.2,15.5,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9,48.5,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),689203,St Paul High School,Catholic,Not applicable,Secondary,English,9-12,,,2675 Draper Ave,Ottawa,Ottawa,Ontario,K2H7A1,613-820-9705,613-820-9390,http://pah.ocsb.ca,http://www.ottawacatholicschools.ca, 503 ,45.34159,-75.79262,17.1,98.6,3.2,3.2,27.2,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84%,2,47%,-25,79%,-6,20.8,45.3,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),842915,St Paul Intermediate School,Catholic,Not applicable,Elementary,English,7-8,,,2675 Draper Ave,Ottawa,Ottawa,Ontario,K2H7A1,613-820-9705,613-820-9390,http://pah.ocsb.ca,http://www.ottawacatholicschools.ca, 205 ,45.3413,-75.792,15.1,98.5,6.8,6.8,30.7,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.3,54.7,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),843296,St Peter High School,Catholic,Not applicable,Secondary,English,9-12,,,750 Charlemagne Blvd,Ottawa,Orleans,Ontario,K4A3M4,613-837-9377,613-837-7235,http://peh.ocsb.ca,http://www.ottawacatholicschools.ca, 1186 ,45.47479,-75.47738,12.1,95.6,1.3,1.2,23.4,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84%,-7,36%,-29,85%,4,6.1,58.1,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),845124,St Peter Intermediate School,Catholic,Not applicable,Elementary,English,7-8,,,750 Charlemagne Blvd,Ottawa,Orleans,Ontario,K4A3M4,613-837-9377,613-837-7235,http://peh.ocsb.ca,http://www.ottawacatholicschools.ca, 580 ,45.47479,-75.47738,11.6,95.2,2.2,2.6,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,61.2,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),845620,St Philip Elementary School,Catholic,Not applicable,Elementary,English,JK-6,,,79 Maitland St,Ottawa,Richmond,Ontario,K0A2Z0,613-838-2466,613-838-3263,http://phi.ocsb.ca,http://www.ottawacatholicschools.ca, 423 ,45.1854,-75.83632,SP,99.8,SP,SP,12.2,NA,88%,-5,88%,-5,76%,-3,90%,-4,86%,4,41%,8,NA,NA,NA,NA,NA,NA,5.4,54,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),847313,St Pius X High School,Catholic,Not applicable,Secondary,English,9-12,,,1481 Fisher Ave,Ottawa,Ottawa,Ontario,K2C1X4,613-225-8105,613-225-9105,http://pih.ocsb.ca,http://www.ottawacatholicschools.ca, 906 ,45.36551,-75.71234,31.9,97.2,20.9,20.6,20.3,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88%,2,33%,-22,81%,2,18.6,47.2,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),849260,St Rita Elementary School,Catholic,Not applicable,Elementary,English,JK-6,,,1 Inverness Ave,Ottawa,Nepean,Ontario,K2E6N6,613-224-6341,613-224-6341,http://rit.ocsb.ca,http://www.ottawacatholicschools.ca, 401 ,45.3602,-75.71109,29.9,99.3,17.5,17.5,7.7,NA,76%,-3,74%,-7,65%,8,83%,14,83%,6,43%,5,NA,NA,NA,NA,NA,NA,26,50.7,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),702250,St Theresa Elementary School,Catholic,Not applicable,Elementary,English,JK-6,,,2000 Portobello Blvd,Ottawa,Cumberland,Ontario,K4A4M9,613-837-4114,,http://the.ocsb.ca,http://www.ottawacatholicschools.ca, 381 ,45.4636,-75.4667,7.6,97.6,SP,SP,12.3,NA,87%,-4,87%,-7,69%,-25,86%,0,77%,-13,50%,-5,NA,NA,NA,NA,NA,NA,5.2,64.3,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),856118,St Thomas More Elementary School,Catholic,Not applicable,Elementary,English,JK-6,,,1620 Blohm Dr,Ottawa,Ottawa,Ontario,K1G5N6,613-739-7131,613-739-1937,http://stm.ocsb.ca,http://www.ottawacatholicschools.ca, 554 ,45.37477,-75.60629,18.6,97.8,3.4,3.4,9.7,NA,84%,9,77%,1,71%,6,91%,5,94%,4,66%,17,NA,NA,NA,NA,NA,NA,20.2,60,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),849407,St. Benedict Elementary School,Catholic,Not applicable,Elementary,English,JK-6,,,2525 River Mist Road,Ottawa,NEPEAN,Ontario,K2J5Z1,,,http://ben.ocsb.ca,http://www.ottawacatholicschools.ca, 383 ,45.24233,-75.73492,21.9,99,3.9,3.9,10.1,NA,92%,NA,86%,NA,71%,NA,93%,NA,86%,NA,43%,NA,NA,NA,NA,NA,NA,NA,8.3,71.6,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),689173,St. Brother Andre Elementary School,Catholic,Not applicable,Elementary,English,JK-6,,,1923 Elmridge Dr,Ottawa,Gloucester,Ontario,K1J8G7,613-741-0100,613-745-4794,http://ban.ocsb.ca,http://www.ottawacatholicschools.ca, 221 ,45.44385,-75.59955,28.1,92.8,12.7,12.7,19.4,NA,88%,5,77%,-9,73%,2,81%,-6,87%,0,58%,3,NA,NA,NA,NA,NA,NA,28.9,48.5,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),700227,St. Cecilia Catholic School,Catholic,Not applicable,Elementary,English,JK-6,,,3490 Cambrian Road,Ottawa,Nepean,Ontario,K2J0V1,,,http://sce.ocsb.ca,http://www.ottawacatholicschools.ca, 640 ,45.25472,-75.73158,15.9,98.4,2.5,2.5,13.7,NA,94%,5,86%,-9,82%,0,94%,5,92%,-1,56%,-8,NA,NA,NA,NA,NA,NA,7.2,73.4,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),702385,St. Dominic Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-6,,,2300 Esprit Dr,Ottawa,Cumberland,Ontario,K4A0T5,,,http://dom.ocsb.ca,http://www.ottawacatholicschools.ca, 398 ,45.45155,-75.47045,10.8,95,SP,2.5,7.2,NA,82%,-5,88%,-6,61%,-20,95%,-3,93%,-1,55%,-7,NA,NA,NA,NA,NA,NA,8.4,65,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),848612,St. Francis Xavier (7-8) Catholic School,Catholic,Not applicable,Elementary,English,7-8,,,3740 Spratt Rd,Ottawa,Gloucester,Ontario,K1V2M1,613-822-7900,613-822-0214,http://fxh.ocsb.ca,http://www.ottawacatholicschools.ca, 551 ,45.28983,-75.67095,17.1,97.3,3.4,3.4,21.5,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9,66.5,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),843510,St. Francis Xavier (9-12) Catholic School,Catholic,Not applicable,Secondary,English,9-12,,,3740 Spratt Rd,Ottawa,Gloucester,Ontario,K1V2M1,613-822-7900,613-822-0214,http://fxh.ocsb.ca,http://www.ottawacatholicschools.ca, 1248 ,45.28978,-75.67076,20,97.3,3.2,3.2,18.8,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88%,-1,68%,15,80%,-4,13.4,58.4,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),838912,St. Gabriel Elementary School,Catholic,Not applicable,Elementary,English,JK-6,,,400 Keyrock Drive,Ottawa,Kanata,Ontario,K2T0G6,613-271-6181,613-271-8040,http://gab.ocsb.ca,http://www.ottawacatholicschools.ca, 699 ,45.3253,-75.92972,24.3,98.7,5.3,5.3,12.4,NA,86%,3,88%,-7,81%,2,91%,-1,94%,3,66%,-4,NA,NA,NA,NA,NA,NA,7.3,80.4,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),731374,St. Gemma Elementary School,Catholic,Not applicable,Elementary,English,JK-6,,,1760 McMaster Ave,Ottawa,Ottawa,Ontario,K1H6R8,613-731-8841,613-731-8842,http://mcm.ocsb.ca,http://www.ottawacatholicschools.ca, 293 ,45.38672,-75.64669,15,100,9.9,9.6,10.9,NA,79%,-11,85%,-5,67%,-18,92%,8,92%,11,69%,1,NA,NA,NA,NA,NA,NA,18.5,67,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),814241,St. Isabel Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-6,,,785 Goulbourn Forced Road,Ottawa,Kanata,Ontario,K2T0N5,613-271-9542,,http://isa.ocsb.ca,http://www.ottawacatholicschools.ca, NA ,45.326642,-75.941126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),750271,St. John Paul II Elementary School,Catholic,Not applicable,Elementary,English,JK-6,,,1500 Beaverpond Dr,Ottawa,Gloucester,Ontario,K1B3R9,613-744-3591,613-744-5735,http://jpa.ocsb.ca,http://www.ottawacatholicschools.ca, 202 ,45.42301,-75.60199,15.3,95.5,6.4,5.9,17.3,NA,74%,-4,78%,21,67%,2,79%,6,86%,4,21%,-29,NA,NA,NA,NA,NA,NA,25.4,38.9,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),751375,St. John XXIII Elementary School,Catholic,Not applicable,Elementary,English,JK-6,,,165 Knoxdale Rd,Ottawa,Nepean,Ontario,K2G1B1,613-226-6223,613-226-3287,http://joh.ocsb.ca,http://www.ottawacatholicschools.ca, 270 ,45.32804,-75.76887,12.6,98.1,5.6,5.6,21.1,NA,55%,-8,37%,-16,34%,-24,64%,-17,52%,-23,33%,-14,NA,NA,NA,NA,NA,NA,21.2,50.4,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),741680,St. Kateri Tekakwitha Elementary School,Catholic,Not applicable,Elementary,English,JK-6,,,6400 Beausejour Dr,Ottawa,Orleans,Ontario,K1C4W2,613-830-2454,613-830-1436,http://kat.ocsb.ca,http://www.ottawacatholicschools.ca, 303 ,45.45657,-75.52324,8.9,98.7,SP,SP,11.5,NA,72%,1,64%,-4,54%,-7,69%,-13,80%,-13,40%,-6,NA,NA,NA,NA,NA,NA,7.5,57.5,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),733270,St. Mother Teresa Catholic Intermediate School,Catholic,Not applicable,Elementary,English,7-8,,,440 Longfields Dr,Ottawa,Nepean,Ontario,K2J4T1,613-823-1663,613-823-4365,http://teh.ocsb.ca,http://www.ottawacatholicschools.ca, 454 ,45.28541,-75.73914,14.5,98.7,5.3,5.3,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,65.7,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),733288,St. Mother Teresa High School,Catholic,Not applicable,Secondary,English,9-12,,,440 Longfields Dr,Ottawa,Nepean,Ontario,K2J4T1,613-823-1663,613-823-4365,http://teh.ocsb.ca,http://www.ottawacatholicschools.ca, 1100 ,45.28541,-75.73914,23.3,97.6,9.1,9,22.4,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94%,-1,54%,-1,84%,-1,9,60.7,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),689130,St. Rose of Lima Elementary School,Catholic,Not applicable,Elementary,English,JK-6,,,50 Bayshore Dr,Ottawa,Nepean,Ontario,K2B6M8,613-828-5158,613-828-0032,http://ros.ocsb.ca,http://www.ottawacatholicschools.ca, 214 ,45.3507,-75.80682,53.7,95.8,31.8,31.3,13,NA,94%,4,100%,3,88%,9,85%,0,85%,12,31%,4,NA,NA,NA,NA,NA,NA,46.5,49.9,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),744065,St. Stephen Catholic Elementary School,Catholic,Not applicable,Elementary,English,JK-6,,,1145 Stittsville Main Street,Ottawa,Stittsville,Ontario,K2S0M5,613-831-8844,613-831-9185,http://ste.ocsb.ca,http://www.ottawacatholicschools.ca, 567 ,45.27533,-75.93186,4.9,98.8,1.9,1.9,7.5,NA,86%,2,84%,-5,70%,6,82%,6,85%,2,55%,19,NA,NA,NA,NA,NA,NA,4.3,66,6/17/2019
B67180,Ottawa CDSB,Cath Dist Sch Brd (E/F),864510,Thomas D'Arcy McGee Elementary School,Catholic,Not applicable,Elementary,English,JK-6,,,635 Laverendrye Dr,Ottawa,Gloucester,Ontario,K1J7C2,613-749-2251,613-749-3314,http://mcg.ocsb.ca,http://www.ottawacatholicschools.ca, 174 ,45.45424,-75.60416,24.7,94.3,9.8,10.9,17.2,NA,88%,19,77%,18,54%,-5,79%,-13,71%,-21,36%,-8,NA,NA,NA,NA,NA,NA,18.5,57.6,6/17/2019
B80055,Ottawa Children's Treatment Centre SA,Provincial/Hospital,428833,Ottawa Children's Treatment Centre School,Hospital,Not applicable,Elementary,English,JK-4,,,395 Smyth Rd,Ottawa,Ottawa,Ontario,K1H8L2,613-737-0871,613-523-5167,www.octc.ca,, 34 ,45.39903678,-75.65339863,SP,79.4,SP,SP,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/17/2019
B66184,Ottawa-Carleton DSB,Pub Dist Sch Brd (E/F),000566,A. Lorne Cassidy Elementary School,Public,Not applicable,Elementary,English,JK-8,,,27 Hobin St,Ottawa,Stittsville,Ontario,K2S1G8,613-831-3434,613-831-3997,https://alornecassidyes.ocdsb.ca/,http://www.ocdsb.ca, 590 ,45.2625,-75.93322,3.9,99.8,NA,SP,15.9,NA,82%,10,85%,8,78%,24,87%,4,87%,9,42%,-10,NA,NA,NA,NA,NA,NA,2.9,66.7,6/17/2019
B66184,Ottawa-Carleton DSB,Pub Dist Sch Brd (E/F),890243,A.Y. Jackson Secondary School,Public,Not applicable,Secondary,English,9-12,,,150 Abbeyhill Dr,Ottawa,Kanata,Ontario,K2L1H7,613-836-2527,613-836-5672,https://ayjacksonss.ocdsb.ca/,http://www.ocdsb.ca, 774 ,45.29535,-75.88018,22.5,99.6,2.6,2.7,23.7,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92%,-2,45%,-15,90%,2,7.3,56.1,6/17/2019
B66184,Ottawa-Carleton DSB,Pub Dist Sch Brd (E/F),320510,Adrienne Clarkson Elementary School,Public,Not applicable,Elementary,English,JK-6,,,170 Stoneway Dr,Ottawa,Nepean,Ontario,K2G6R2,613-825-8600,613-825-6872,https://adrienneclarksones.ocdsb.ca/,http://www.ocdsb.ca, 618 ,45.28874,-75.71655,36.7,100,3.7,3.7,10.1,SP,85%,-9,93%,-1,84%,9,95%,1,95%,-2,68%,-1,NA,NA,NA,NA,NA,NA,6.4,74.4,6/17/2019
B66184,Ottawa-Carleton DSB,Pub Dist Sch Brd (E/F),947210,Adult High School,Public,Adult,Secondary,English,9-12,,,300 Rochester St,Ottawa,Ottawa,Ontario,K1R7N4,613-239-2707,613-232-1616,https://adulths.ocdsb.ca/,http://www.ocdsb.ca, 1161 ,45.40454,-75.71054,64.3,97.4,35.3,34.5,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0%,NA,14%,NA,N/R,NA,29.9,39.4,6/17/2019
B66184,Ottawa-Carleton DSB,Pub Dist Sch Brd (E/F),004626,Agincourt Road Public School,Public,Not applicable,Elementary,English,JK-5,,,1250 Agincourt Rd,Ottawa,Ottawa,Ontario,K2C2J2,613-225-2750,613-225-5804,https://agincourtps.ocdsb.ca/,http://www.ocdsb.ca, 534 ,45.36051,-75.75196,22.8,98.9,4.5,4.5,8.2,SP,90%,3,91%,7,84%,6,N/D,NA,N/D,NA,N/D,NA,NA,NA,NA,NA,NA,NA,16.6,66.4,6/17/2019
B66184,Ottawa-Carleton DSB,Pub Dist Sch Brd (E/F),013986,Alta Vista Public School,Public,Not applicable,Elementary,English,JK-8,,,1349 Randall Ave,Ottawa,Ottawa,Ontario,K1H7R2,613-733-7124,613-733-2730,https://altavistaps.ocdsb.ca/,http://www.ocdsb.ca, 642 ,45.38362,-75.66486,23.4,99.5,4.8,4.8,12.9,SP,75%,-2,64%,-17,64%,2,85%,-1,85%,2,51%,3,NA,NA,NA,NA,NA,NA,19.3,68.4,6/17/2019
B66184,Ottawa-Carleton DSB,Pub Dist Sch Brd (E/F),020354,Arch Street Public School,Public,Not applicable,Elementary,English,JK-6,,,2129 Arch St,Ottawa,Ottawa,Ontario,K1G2H5,613-733-0205,613-733-5862,https://archstreetps.ocdsb.ca/,http://www.ocdsb.ca, 166 ,45.39191,-75.63001,70.5,98.8,18.1,18.1,22.8,NA,47%,4,47%,12,42%,-1,74%,12,61%,-1,26%,3,NA,NA,NA,NA,NA,NA,47.4,28.5,6/17/2019
B66184,Ottawa-Carleton DSB,Pub Dist Sch Brd (E/F),119207,Avalon Public School,Public,Not applicable,Elementary,English,JK-6,,,2080 Portobello Blvd,Ottawa,Orleans,Ontario,K4A0K5,613-834-7313,613-834-5274,https://avalonps.ocdsb.ca/,http://www.ocdsb.ca, 376 ,45.45835,-75.46611,29.3,98.9,3.5,3.5,14.8,NA,83%,6,87%,14,61%,1,78%,-10,78%,-3,35%,-15,NA,NA,NA,NA,NA,NA,6.1,66.8,6/17/2019
B66184,Ottawa-Carleton DSB,Pub Dist Sch Brd (E/F),032271,Barrhaven Public School,Public,Not applicable,Elementary,English,JK-6,,,80 Larkin Dr,Ottawa,Nepean,Ontario,K2J1B7,613-825-2691,613-825-9307,https://barrhavenps.ocdsb.ca/,http://www.ocdsb.ca, 423 ,45.28106,-75.76412,31,99.3,8.5,8.7,19.3,SP,58%,-16,62%,-10,57%,-3,89%,NA,89%,NA,46%,NA,NA,NA,NA,NA,NA,NA,8.7,65.9,6/17/2019
